Time,Date,Merchant,Gateway,Amount,Status,UTR,TXID
9:00:47 PM,9/26/2024,gennpay,airpay,500,success,427004839418,429968327
9:00:51 PM,9/26/2024,gennpay,airpay,600,success,427019809532,429968360
9:01:12 PM,9/26/2024,gennpay,airpay,500,success,427002310805,429968544
9:01:19 PM,9/26/2024,gennpay,airpay,850,success,427084128559,429968597
9:01:43 PM,9/26/2024,gennpay,airpay,1500,success,427006782126,429968775
9:02:06 PM,9/26/2024,gennpay,airpay,500,success,427003421345,429968948
9:02:11 PM,9/26/2024,gennpay,airpay,500,success,427035817226,429968977
9:02:30 PM,9/26/2024,gennpay,airpay,500,success,427082789343,429969117
9:02:48 PM,9/26/2024,gennpay,airpay,500,success,427056989499,429969276
9:03:02 PM,9/26/2024,gennpay,airpay,700,failed,427085096585,429969398
9:03:05 PM,9/26/2024,gennpay,airpay,1000,failed,427009499305,429969420
9:03:16 PM,9/26/2024,gennpay,airpay,500,success,502428986843,429969512
9:03:20 PM,9/26/2024,gennpay,airpay,500,success,427021253710,429969553
9:11:18 PM,9/26/2024,gennpay,airpay,1500,success,427001440943,429974108
9:11:35 PM,9/26/2024,gennpay,airpay,500,success,427002782529,429974257
9:12:00 PM,9/26/2024,gennpay,airpay,1500,success,427097315387,429974486
9:12:07 PM,9/26/2024,gennpay,airpay,2000,failed,427036311349,429974563
9:12:14 PM,9/26/2024,gennpay,airpay,500,success,427071251239,429974638
9:12:18 PM,9/26/2024,gennpay,airpay,5001,failed,,429974696
9:12:26 PM,9/26/2024,gennpay,airpay,500,success,427040238850,429974802
9:12:27 PM,9/26/2024,gennpay,airpay,1000,success,927488531110,429974811
9:12:31 PM,9/26/2024,gennpay,airpay,1000,success,463667004786,429974855
9:12:33 PM,9/26/2024,gennpay,airpay,1000,success,427036350646,429974885
9:12:35 PM,9/26/2024,gennpay,airpay,1500,success,427010838755,429974899
9:12:49 PM,9/26/2024,gennpay,airpay,2000,success,427002070919,429975088
9:12:51 PM,9/26/2024,gennpay,airpay,600,failed,427049152622,429975116
9:12:54 PM,9/26/2024,gennpay,airpay,540,success,427008302498,429975165
9:13:07 PM,9/26/2024,gennpay,airpay,1000,success,427005417738,429975324
9:13:18 PM,9/26/2024,gennpay,airpay,1000,failed,,429975433
9:13:24 PM,9/26/2024,gennpay,airpay,1000,failed,,429975486
9:13:26 PM,9/26/2024,gennpay,airpay,500,success,427037800524,429975510
9:13:28 PM,9/26/2024,gennpay,airpay,1000,success,427019809341,429975543
9:14:00 PM,9/26/2024,gennpay,airpay,4000,success,427014316168,429975886
9:14:04 PM,9/26/2024,gennpay,airpay,500,success,427060559075,429975934
9:14:19 PM,9/26/2024,gennpay,airpay,500,success,427088708648,429976131
9:14:51 PM,9/26/2024,gennpay,airpay,1000,success,427006505433,429976496
9:14:52 PM,9/26/2024,gennpay,airpay,650,success,427059498142,429976519
9:14:53 PM,9/26/2024,gennpay,airpay,1000,success,427024450123,429976528
9:15:10 PM,9/26/2024,gennpay,airpay,500,success,669758477894,429976712
2:18:04 PM,9/27/2024,gennpay,airpay,550,success,427162063365,430465936
2:18:34 PM,9/27/2024,gennpay,airpay,500,success,649926650914,430466185
2:20:18 PM,9/27/2024,gennpay,airpay,2200,failed,,430467059
2:20:29 PM,9/27/2024,gennpay,airpay,3000,success,427149801310,430467149
2:20:59 PM,9/27/2024,gennpay,airpay,1000,success,427100852420,430467407
2:21:39 PM,9/27/2024,gennpay,airpay,965,success,463716684475,430467776
2:23:06 PM,9/27/2024,gennpay,airpay,1000,success,427157983853,430468599
2:24:11 PM,9/27/2024,gennpay,airpay,800,success,427161028574,430469108
2:25:55 PM,9/27/2024,gennpay,airpay,4000,failed,,430469928
2:26:08 PM,9/27/2024,gennpay,airpay,500,failed,427119120218,430470031
2:26:43 PM,9/27/2024,gennpay,airpay,4000,success,427131277874,430470334
2:27:07 PM,9/27/2024,gennpay,airpay,500,success,427144808270,430470528
2:27:09 PM,9/27/2024,gennpay,airpay,2000,success,427134149711,430470538
2:27:20 PM,9/27/2024,gennpay,airpay,950,success,427100056065,430470644
2:27:33 PM,9/27/2024,gennpay,airpay,1000,success,427131317415,430470730
2:27:45 PM,9/27/2024,gennpay,airpay,500,success,427183103246,430470842
2:28:19 PM,9/27/2024,gennpay,airpay,500,failed,,430471154
2:28:30 PM,9/27/2024,gennpay,airpay,500,success,427177729493,430471257
2:28:55 PM,9/27/2024,gennpay,airpay,500,success,427131423283,430471485
2:29:32 PM,9/27/2024,gennpay,airpay,500,success,427173947513,430471746
2:29:49 PM,9/27/2024,gennpay,airpay,500,success,427131928866,430471855
2:30:04 PM,9/27/2024,gennpay,airpay,1000,success,427131501611,430471959
2:30:13 PM,9/27/2024,gennpay,airpay,1500,success,427182556750,430472034
2:30:18 PM,9/27/2024,gennpay,airpay,500,success,797970622790,430472062
2:30:20 PM,9/27/2024,gennpay,airpay,500,success,427135387299,430472086
2:31:41 PM,9/27/2024,gennpay,airpay,500,success,427141842808,430472640
2:31:49 PM,9/27/2024,gennpay,airpay,500,success,427107611844,430472697
2:32:40 PM,9/27/2024,gennpay,airpay,2000,success,826287471401,430473044
2:33:46 PM,9/27/2024,gennpay,airpay,1000,success,427184194919,430473404
2:34:06 PM,9/27/2024,gennpay,airpay,1000,success,427166525307,430473529
2:34:56 PM,9/27/2024,gennpay,airpay,8000,failed,,430473835
2:35:37 PM,9/27/2024,gennpay,airpay,500,success,427144958191,430474101
2:37:06 PM,9/27/2024,gennpay,airpay,500,success,427133342245,430474681
2:37:54 PM,9/27/2024,gennpay,airpay,1000,success,427196002937,430474978
2:38:24 PM,9/27/2024,gennpay,airpay,3000,success,427131962471,430475186
2:38:42 PM,9/27/2024,gennpay,airpay,500,success,427118905422,430475313
2:38:46 PM,9/27/2024,gennpay,airpay,10000,success,427195231399,430475339
2:39:25 PM,9/27/2024,gennpay,airpay,750,success,427126598350,430475556
2:39:40 PM,9/27/2024,gennpay,airpay,1000,success,427197388931,430475649
2:39:51 PM,9/27/2024,gennpay,airpay,600,success,463758038970,430475713
2:41:26 PM,9/27/2024,gennpay,airpay,500,success,427132132113,430476333
2:41:43 PM,9/27/2024,gennpay,airpay,600,success,427186412482,430476451
2:41:59 PM,9/27/2024,gennpay,airpay,800,success,427151320752,430476570
2:42:45 PM,9/27/2024,gennpay,airpay,1000,failed,,430476871
2:42:53 PM,9/27/2024,gennpay,airpay,1000,failed,,430476926
2:43:13 PM,9/27/2024,gennpay,airpay,1400,success,427107034405,430477087
2:43:16 PM,9/27/2024,gennpay,airpay,7000,success,427136991729,430477119
2:44:08 PM,9/27/2024,gennpay,airpay,500,failed,,430477470
2:44:21 PM,9/27/2024,gennpay,airpay,500,success,427132302400,430477544
2:44:34 PM,9/27/2024,gennpay,airpay,1000,success,427147143536,430477635
2:44:43 PM,9/27/2024,gennpay,airpay,1000,success,427102598685,430477685
2:45:43 PM,9/27/2024,gennpay,airpay,1000,success,427126191090,430478118
2:46:21 PM,9/27/2024,gennpay,airpay,600,success,539547352734,430478344
2:46:34 PM,9/27/2024,gennpay,airpay,500,success,197459636837,430478427
2:47:08 PM,9/27/2024,gennpay,airpay,1300,success,463724450694,430478650
2:48:03 PM,9/27/2024,gennpay,airpay,2000,success,427132492559,430478998
2:48:20 PM,9/27/2024,gennpay,airpay,500,success,427188629660,430479109
2:48:56 PM,9/27/2024,gennpay,airpay,600,success,353665305743,430479337
2:49:04 PM,9/27/2024,gennpay,airpay,500,success,427116128308,430479392
2:49:10 PM,9/27/2024,gennpay,airpay,500,failed,427140411203,430479429
2:49:25 PM,9/27/2024,gennpay,airpay,5000,failed,,430479545
2:49:29 PM,9/27/2024,gennpay,airpay,3000,failed,,430479573
2:49:35 PM,9/27/2024,gennpay,airpay,500,success,427132582041,430479610
2:49:45 PM,9/27/2024,gennpay,airpay,1000,success,427184201263,430479676
2:49:50 PM,9/27/2024,gennpay,airpay,1000,success,427171708827,430479698
2:49:58 PM,9/27/2024,gennpay,airpay,800,success,427133914873,430479744
2:50:41 PM,9/27/2024,gennpay,airpay,1000,success,427132642374,430479988
2:51:12 PM,9/27/2024,gennpay,airpay,500,success,463763532496,430480169
2:51:44 PM,9/27/2024,gennpay,airpay,3700,success,427104327031,430480372
2:51:48 PM,9/27/2024,gennpay,airpay,585,success,427134537401,430480399
2:51:59 PM,9/27/2024,gennpay,airpay,2000,success,427165939569,430480469
2:52:50 PM,9/27/2024,gennpay,airpay,500,success,427159233909,430480812
2:52:55 PM,9/27/2024,gennpay,airpay,1000,success,427126352767,430480844
2:53:21 PM,9/27/2024,gennpay,airpay,500,success,972867946170,430481020
2:53:52 PM,9/27/2024,gennpay,airpay,1000,success,427181347962,430481245
2:54:20 PM,9/27/2024,gennpay,airpay,500,success,193944795041,430481436
2:55:09 PM,9/27/2024,gennpay,airpay,1000,success,427101646145,430481760
2:55:15 PM,9/27/2024,gennpay,airpay,1000,success,427186397469,430481804
2:55:34 PM,9/27/2024,gennpay,airpay,500,failed,,430481915
2:55:58 PM,9/27/2024,gennpay,airpay,500,success,427196291287,430482081
